,City/County,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,CY Total
58, Morris County ,51065.84,57414.91,53671.12,55638.19,55081.36,59131.38,66330.08,66527.52,65165.32,55896.09,58793.04,67554.98,712269.83
59, Morton County ,24266.18,26513.18,22660.11,22974.05,26812.0,28958.84,28137.33,41135.75,26665.74,25039.02,20601.54,26180.04,319943.78
60, Nemaha County ,174273.75,192677.44,164425.82,167737.8,194022.05,193036.83,201187.38,173723.01,199486.34,180636.64,201593.65,225442.57,2268243.28
61, Neosho County ,313215.32,349887.4,387596.83,279894.58,432928.42,379188.04,331000.65,402857.3,343953.78,358905.01,330792.48,432921.3,4343141.11
62, Norton County ,32156.04,36111.57,34944.48,28025.72,43635.87,40910.39,41902.64,43119.32,45673.71,43049.34,52732.6,46235.68,488497.36
63, Osage County ,88986.91,97892.67,100717.6,96673.34,103262.02,117332.34,109683.56,105754.97,116209.58,103042.82,112790.62,135283.7,1287630.13
64, Osborne County ,57508.43,59169.06,56017.04,52016.57,64205.94,54560.52,54855.81,62980.59,54649.96,49845.61,53218.63,65061.44,684089.6
65, Ottawa County ,29229.47,33960.2,35025.62,31527.12,31241.52,33893.02,31372.48,30160.36,32360.85,30684.93,31678.14,46142.04,397275.75
66, Pawnee County ,98963.65,119870.72,117183.43,91183.42,129165.92,92881.19,114027.95,120190.25,119546.43,114723.53,90856.63,144559.66,1353152.78
67, Phillips County ,24637.48,27572.68,26499.91,21764.56,30536.09,27997.13,24164.15,29588.21,26459.42,30810.9,56373.22,34109.43,360513.18
68, Pottawatomie County ,518490.93,542959.01,504757.14,437100.65,575230.75,569768.27,566944.6,529935.83,530122.64,520816.75,479282.08,679954.62,6455363.27
69, Pratt County ,273734.36,283684.09,282534.5,248079.46,304800.42,299992.36,276048.61,308830.84,291588.61,290536.46,276240.69,336367.16,3472437.56
70, Rawlins County ,21545.46,19810.99,26448.83,19874.33,24147.47,26124.8,21505.0,20560.95,26775.81,23085.55,31165.58,30221.8,291266.57
71, Reno County ,753732.44,897890.33,840516.44,754679.84,917521.08,900220.95,924258.96,841771.98,910115.03,948907.38,802866.78,1071401.29,10563882.5
72, Republic County ,90062.93,90088.9,97181.32,91425.2,101669.24,91260.35,107198.94,109189.91,99841.34,101709.63,91344.14,122637.76,1193609.66
73, Rice County ,88068.78,93184.9,106318.6,76259.03,103265.05,93476.34,95270.15,94602.79,108966.09,100383.7,100821.96,121688.55,1182305.94
74, Riley County ,731676.02,777357.41,758830.43,667765.52,863595.03,825783.79,825518.1,769597.25,815450.8,851857.11,713631.18,992672.62,9593735.26
75, Rooks County ,22250.38,24192.96,24611.34,20530.08,30327.78,30771.93,27100.73,30967.34,30862.51,28096.43,41901.55,32538.59,344151.62
76, Russell County ,123438.33,148019.77,130660.62,120817.18,139417.65,153630.09,160333.82,165580.94,168268.68,168011.56,151392.38,207764.12,1837335.14
77, Saline County ,932143.5,1152118.03,980205.88,869218.49,1206929.23,1613200.29,1627335.92,1640388.45,1652804.55,1538398.22,1378466.55,1940082.34,16531291.45
78, Scott County ,126624.74,164090.71,141568.54,137920.67,151450.49,153010.72,164413.46,157930.64,159052.15,142410.06,143231.61,189228.53,1830932.32
79, Sedgwick County ,7623537.14,8728839.06,7855580.05,7068908.1,9270425.16,8919253.47,9140630.9,8531034.83,9084421.99,8724857.79,8381036.04,10747436.48,104075961.01
80, Seward County ,391184.07,449468.2,390941.16,389321.89,475582.78,441095.07,475623.98,451033.48,446503.74,462578.34,392988.85,525542.45,5291864.01
